# YaV1 aerial-enforcement watchlist
#
# Format: icao_hex,registration,agency,model,source,confidence
# The app reads the first four columns; source/confidence document
# per-entry provenance. Lines starting with '#' are comments. Matching is
# case-insensitive on the ICAO hex (Mode S) address first, then on the
# registration / callsign.
#
# Sources (regenerate with tools/enrich_watchlist.py):
#  - source=faa: FAA Releasable Aircraft Registry
#    (registry.faa.gov/database/ReleasableAircraft.zip), snapshot of
#    2026-07-14. Registrant NAME matched against state-level
#    law-enforcement aviation patterns (HIGHWAY PATROL / STATE PATROL /
#    STATE POLICE / DEPT[ARTMENT] OF PUBLIC SAFETY / PUBLIC SAFETY DEPT /
#    AERIAL ENFORCEMENT) plus county SHERIFF registrants in states with
#    documented aircraft speed enforcement (OH TX AK VA NC FL CA WA);
#    sheriff ROTORCRAFT are excluded outright (metro patrol fleets would
#    swamp the list - e.g. 230 such helicopters matched in the 2026-07
#    snapshot and none are speed-timing platforms).
#    MODE S CODE HEX is the FAA-assigned ICAO 24-bit address. Gliders,
#    balloons and UAVs are excluded, as are FIRE/FORESTRY/EMERGENCY
#    MANAGEMENT/university registrants.
#  - source=pol: github.com/sdr-enthusiasts/plane-alert-db
#    plane-alert-pol.csv (community-curated), same snapshot date: US
#    state police / highway patrol / DPS operators and any aircraft
#    tagged "Speed Enforced by Aircraft" (the tag raises the entry's
#    confidence to high).
#  - source=faa+pol: present in both (FAA data wins for reg/model).
#
# Confidence:
#  - high:   state-level agency fixed-wing (the classic speed-timing
#            platform: Cessna 172/182/206, GA8, PC-12) or explicitly
#            speed-tagged in plane-alert-db
#  - medium: county sheriff fixed-wing in an enforcement state, or
#            state-agency aircraft known only from plane-alert-db
#  - low:    rotorcraft (mostly patrol / medevac; rarely time speed)
#
# Registrations change owners over time - refresh from the FAA registry
# periodically. Users can extend this list in
# <app storage>/aircraft/enforcement_user.csv
A4B1F6,N401SP,Connecticut State Police,Bell OH-58A,faa,low
A4B5AD,N402SP,Connecticut State Police,Bell OH-58A,faa,low
A49F6F,N3972G,County Of Merced Sheriff's Dept,Cessna U206C,faa,medium
AAF60B,N805SL,County Of San Luis Obispo Sheriffs Office,Cessna 182R,faa,medium
A2A20A,N269SP,Department Of Public Safety,Bell UH-1V,faa,low
A3F542,N354SJ,Department Of Public Safety,Bell OH-58A,faa,low
A660B4,N51SP,Department Of Public Safety,Cessna 182Q,faa,high
A75920,N57266,Department Of Public Safety,Aero Commander 500 S,faa,high
A816FA,N620HP,Department Of Public Safety,Cessna T206H,faa,high
A8DD56,N670SP,Department Of Public Safety,Bell UH-1H,faa+pol,low
A582A3,N454TB,Department Of Public Safety Of The State Of Texas,Hawker Beechcraft Corp B300,faa,high
A026E0,N109HP,Florida Highway Patrol,Textron Aviation Inc 208B,faa,high
A255E2,N25HP,Florida Highway Patrol,Cessna 182T,faa,high
A299BB,N267HP,Florida Highway Patrol,Cessna 172S,faa,high
A29D72,N268HP,Florida Highway Patrol,Cessna T206H,faa,high
A64989,N504HP,Florida Highway Patrol,Pilatus PC-12/45,faa,high
A6B4E1,N531HP,Florida Highway Patrol,Cessna T206H,faa,high
A7F332,N611HP,Florida Highway Patrol,Cessna 182T,faa,high
A96B95,N706HP,Florida Highway Patrol,Cessna R182,faa,high
AA74E9,N773HP,Florida Highway Patrol,Cessna T206H,faa,high
ACCAE3,N923SD,Fresno County Sheriffs Department,Cessna T206H,faa,medium
A208D5,N230DK,Georgia Department Of Public Safety,Bell Helicopter Textron Canada 407,faa,low
AC835D,N905SP,Georgia Department Of Public Safety,Bell OH-58A,faa,low
AC8714,N906SP,Georgia Department Of Public Safety,Bell OH-58A,faa,low
AC8E82,N908SP,Georgia Department Of Public Safety,Bell OH-58A,faa,low
ACC736,N922SP,Georgia Department Of Public Safety,Bell Helicopter Textron Canada 407,faa,low
ACD25B,N925SP,Georgia Department Of Public Safety,Bell Helicopter Textron Canada 407,faa,low
ACD9C9,N927SP,Georgia Department Of Public Safety,Bell OH-58C,faa,low
ACE747,N930SP,Georgia Department Of Public Safety,Bell 407,faa,low
ADD775,N991MH,Georgia Department Of Public Safety,Bell Helicopter Textron Canada 407,faa,low
